zip,dollars,timestamp,date,city,state,latitude,longitude
98368,100,"",2014-05-01,Port Townsend,WA,48.104,-122.7945
48302,5,"",2014-05-01,Bloomfield Hills,MI,42.5848,-83.2821
02130,50,"",2014-05-01,"Jamaica Plain, MA",MA,42.3126,-71.1115
18657,25,"",2014-05-01,Tunkhannock,PA,41.5664,-75.9757
28739,100,"",2014-05-01,Hendersonville,NC,35.3192,-82.5
15217,100,"",2014-05-01,Pittsburgh,PA,40.4308,-79.9205
32609,100,"",2014-05-01,Gainesville,FL,29.7005,-82.308
78734,6,"",2014-05-01,Austin,TX,30.3705,-97.9427
04915,25,"",2014-05-01,Belfast,ME,44.4354,-69.0148
11763,10,"",2014-05-01,Medford,NY,40.8174,-72.9852
60046,25,"",2014-05-01,Lake Villa,IL,42.3813,-87.9991
51104,100,"",2014-05-01,Sioux City,IA,42.5254,-96.4005
02130,250,"",2014-05-01,Jamaica Plain,MA,42.3126,-71.1115
85711,50,"",2014-05-01,Tucson,AZ,32.2127,-110.8829
05753,50,"",2014-05-01,Middlebury,VT,43.9919,-73.1716
80027,5,"",2014-05-01,Louisville,CO,39.9789,-105.1456
02138,75,"",2014-05-01,Cambridge,MA,42.377,-71.1256
20170,50,"",2014-05-01,Herndon,VA,38.9839,-77.3675
04843,25,"",2014-05-01,Camden,ME,44.2137,-69.0767
43202,100,"",2014-05-01,Columbus,OH,40.0201,-83.0118
67460,50,"",2014-05-01,McPherson,KS,38.3763,-97.6702
22901,100,"",2014-05-01,Charlottesville,VA,38.0936,-78.5611
27608,10,"",2014-05-01,Raleigh,NC,35.8077,-78.6463
"",25,"",2014-05-01,Oita,0,,
84106,100,"",2014-05-01,Salt Lake City,UT,40.7056,-111.8548
70115,50,"",2014-05-01,New Orleans,LA,29.9289,-90.1005
66209,100,"",2014-05-01,Overland Park,KS,38.8984,-94.6377
20037,1,"",2014-05-01,Washington,DC,38.9014,-77.0504
33040,25,"",2014-05-01,key west,FL,24.6557,-81.3824
10013,100,"",2014-05-01,New York,NY,40.7185,-74.0025
66208,25,"",2014-05-01,Prairie Village,KS,38.9938,-94.634
97211,50,"",2014-05-01,Portland,OR,45.5653,-122.6448
92627,50,"",2014-05-01,Costa Mesa,CA,33.6483,-117.9155
55406,200,"",2014-05-01,Minneapolis,MN,44.9384,-93.2214
94115,100,"",2014-05-01,San Francisco,CA,37.7856,-122.4358
40223,50,"",2014-05-01,Louisville,KY,38.2651,-85.5582
60451,100,"",2014-05-01,new lenox,IL,41.5067,-87.9631
73051,100,"",2014-05-01,Lexington,OK,35.0377,-97.2609
19440,20,"",2014-05-01,Hatfield,PA,40.2778,-75.2975
06033,100,"",2014-05-01,glastonbury,CT,41.7073,-72.5727
61548,100,"",2014-05-01,Metamora,IL,40.7844,-89.4309
33312,25,"",2014-05-01,Dania Beach,FL,26.0968,-80.181
78748,100,"",2014-05-01,Austin,TX,30.1743,-97.8225
85392,25,"",2014-05-01,avondale,AZ,33.4777,-112.3093
80127,20,"",2014-05-01,Littleton,CO,39.592,-105.1328
20008,150,"",2014-05-01,Washington,DC,38.9363,-77.0599
22151,50,"",2014-05-01,Springfield,VA,38.8029,-77.2116
02140,1000,"",2014-05-01,Cambridge,MA,42.3932,-71.1338
85201,25,"",2014-05-01,Mesa,AZ,33.4317,-111.8469
29605,25,"",2014-05-01,Greenville,SC,34.8001,-82.3932
12180,50,"",2014-05-01,troy,NY,42.7287,-73.6683
05071,50,"",2014-05-01,South Woodstock,VT,43.5601,-72.5384
98052,20,"",2014-05-01,Redmond,WA,47.6718,-122.1232
94608,10,"",2014-05-01,Emeryville,CA,37.8365,-122.2804
32806,10,"",2014-05-01,Orlando,FL,28.514,-81.357
14610,100,"",2014-05-01,Rochester NY,DC,43.1452,-77.5495
94085,100,"",2014-05-01,Sunnyvale,CA,37.3886,-122.0177
11228,50,"",2014-05-01,Brooklyn,NY,40.6174,-74.0121
08343,100,"",2014-05-01,Monroeville,NJ,39.6442,-75.1568
11238,100,"",2014-05-01,Brooklyn,NY,40.679,-73.9644
80246,200,"",2014-05-01,Glendale,CO,39.7086,-104.9312
55408,100,"",2014-05-01,Minneapolis,MN,44.9466,-93.2862
02140,100,"",2014-05-01,Cambridge,MA,42.3932,-71.1338
12019,150,"",2014-05-01,Ballston Lake,NY,42.9192,-73.8552
64628,50,"",2014-05-01,Brookfield,MO,39.7846,-93.0719
80210,200,"",2014-05-01,Denver,CO,39.679,-104.9631
97330,200,"",2014-05-01,Corvallis,OR,44.5904,-123.2722
11205,100,"",2014-05-01,Brooklyn,NY,40.6924,-73.9666
02139,20,"",2014-05-01,Cambridge,MA,42.3647,-71.1042
90807,50,"",2014-05-01,Long Beach,CA,33.8315,-118.1811
03261,100,"",2014-05-01,Northwood,NH,43.207,-71.2004
91205,5,"",2014-05-01,Glendale,CA,34.1378,-118.2424
11215,100,"",2014-05-01,brooklyn,NY,40.6669,-73.9828
15236,50,"",2014-05-01,Pittsburgh,DC,40.3351,-79.9832
94086,250,"",2014-05-01,Sunnyvale,CA,37.3764,-122.0238
19146,50,"",2014-05-01,Philadelphia,PA,39.9379,-75.1794
98201,100,"",2014-05-01,Everett,WA,47.9884,-122.2006
03458,100,"",2014-05-01,Peterborough,NH,42.8856,-71.947
83014,50,"",2014-05-01,Wilson,WY,43.4992,-110.8742
75077,50,"",2014-05-01,Lewisville,TX,33.0775,-97.0704
07960,100,"",2014-05-01,Morristown,NJ,40.7952,-74.4873
22902,50,"",2014-05-01,Charlottesville,VA,38.0266,-78.4804
97520,50,"",2014-05-01,Ashland,OR,42.1885,-122.693
34243,100,"",2014-05-01,Sarasota,FL,27.4072,-82.5303
12414,100,"",2014-05-01,Catskill,NY,42.2276,-73.8985
19123,5,"",2014-05-01,philadelphia,PA,39.966,-75.151
61821,20,"",2014-05-01,Champaign,IL,40.1073,-88.2788
77069,100,"",2014-05-01,HOUSTON,TX,29.9863,-95.5208
07450,10,"",2014-05-01,Ridgewood,NJ,40.982,-74.1131
78255,25,"",2014-05-01,San Antonio,TX,29.6701,-98.6873
84115,100,"",2014-05-01,Salt Lake City,UT,40.7145,-111.8931
84037,100,"",2014-05-01,Kaysville,UT,41.0375,-111.9326
90401,20,"",2014-05-01,Santa Monica,CA,34.0176,-118.4907
85204,10,"",2014-05-01,Mesa,AZ,33.3992,-111.7896
50310,50,"",2014-05-01,Des Moines,IA,41.6255,-93.6736
10014,100,"",2014-05-01,New York,NY,40.7339,-74.0054
98282,100,"",2014-05-01,Camano Island,WA,48.1761,-122.521
11001,100,"",2014-05-01,Floral Park,NY,40.7236,-73.7058
07503,5,"",2014-05-01,PATERSON,NJ,40.897,-74.1573
89413,25,"",2014-05-01,Glenbrook,DC,39.0509,-119.9428
10011,25,"",2014-05-01,New York,undefined,40.7402,-73.9996
